ParticipantID,Condition,Nametag,Intro,Pronoun_Pair,T_Pronoun,C_Pronoun,T_ID,TrialID,Transcription,He,His,She,Her,They,Their,Disfluency,MultiplePronouns,PronounProduced,Accuracy
3_041,nametag,1,0,HS_HS,he,she,10,nametag_list4_critical03_he,Taylor gave an avocado to his sister.,0,1,0,0,0,0,0,0,his,1
3_041,nametag,1,0,HS_HS,he,she,10,nametag_list4_critical04_he,Taylor gave a pumpkin to his brother.,0,1,0,0,0,0,0,0,his,1
3_041,nametag,1,0,HS_HS,he,she,10,nametag_list4_critical05_he,Taylor gave bread to his sister.,0,1,0,0,0,0,0,0,his,1
3_041,nametag,1,0,HS_T,he,they,10,nametag_list4_critical06_he,Taylor gave corn to his brother.,0,1,0,0,0,0,0,0,his,1
3_041,nametag,1,0,HS_T,he,they,10,nametag_list4_critical07_he,Taylor gave his brother kiwi.,0,1,0,0,0,0,0,0,his,1
3_041,nametag,1,0,HS_T,he,they,10,nametag_list4_critical08_he,Taylor gave his sister blueberries.,0,1,0,0,0,0,0,0,his,1
3_041,nametag,1,0,HS_T,he,they,10,nametag_list4_critical09_he,Taylor gave his sister a pineapple? Sam gave his sisterÉ Taylor gave his sister a pear.,0,1,0,0,0,0,1,0,his,1
3_041,nametag,1,0,HS_T,he,they,10,nametag_list4_critical10_he,Taylor gave his brother orange juice.,0,1,0,0,0,0,0,0,his,1
3_041,nametag,1,0,HS_HS,she,he,11,nametag_list4_critical11_she,Jordan gave her sister a spoon.,0,0,0,1,0,0,0,0,her,1
3_041,nametag,1,0,HS_HS,she,he,11,nametag_list4_critical12_she,Jordan gave broccoli to her brother.,0,0,0,1,0,0,0,0,her,1
3_041,nametag,1,0,HS_HS,she,he,11,nametag_list4_critical13_she,Jordan gave her brother an egg.,0,0,0,1,0,0,0,0,her,1
3_041,nametag,1,0,HS_HS,she,he,11,nametag_list4_critical14_she,Jordan gave her sister a strawberry.,0,0,0,1,0,0,0,0,her,1
3_041,nametag,1,0,HS_HS,she,he,11,nametag_list4_critical15_she,Jordan gave a pineapple to her brother.,0,0,0,1,0,0,0,0,her,1
3_041,nametag,1,0,HS_T,she,they,11,nametag_list4_critical16_she,Jordan gave a banana to her sister.,0,0,0,1,0,0,0,0,her,1
3_041,nametag,1,0,HS_T,she,they,11,nametag_list4_critical17_she,Jordan gave bacon to her sister.,0,0,0,1,0,0,0,0,her,1
3_041,nametag,1,0,HS_T,she,they,11,nametag_list4_critical18_she,Jordan gave her brother icecream.,0,0,0,1,0,0,0,0,her,1
3_041,nametag,1,0,HS_T,she,they,11,nametag_list4_critical19_she,Jordan gave a carrot to her sister.,0,0,0,1,0,0,0,0,her,1
3_041,nametag,1,0,HS_T,she,they,11,nametag_list4_critical20_she,Jordan gave a lemon to her brother.,0,0,0,1,0,0,0,0,her,1
3_041,nametag,1,0,T_HS,they,she,12,nametag_list4_critical21_they,Sam gave pizza to their brother.,0,0,0,0,0,1,0,0,their,1
3_041,nametag,1,0,T_HS,they,she,12,nametag_list4_critical22_they,Sam gave a plate to their sister.,0,0,0,0,0,1,0,0,their,1
3_041,nametag,1,0,T_HS,they,she,12,nametag_list4_critical23_they,Sam gave an orange to their sister.,0,0,0,0,0,1,0,0,their,1
