SubjID,SubjAge,SubjGender,SubjEnglish,List,Task,Name,Pronoun,Pet,Job,M_Type,M_Response,M_Acc,P_Response,P_Pronoun,P_Acc,I_Response
1B_004,18,male,"native (learned from birth)",3,memory,Brian,they/them,dog,mechanic,job,mechanic,1,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Brian,they/them,dog,mechanic,pet,fish,0,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Brian,they/them,dog,mechanic,pronoun,he/him,0,,,,
1B_004,18,male,"native (learned from birth)",3,production,Brian,they/them,dog,mechanic,,,,he applied ointment to his wound that he unfortunately got during his job.,he/him,0,
1B_004,18,male,"native (learned from birth)",3,introduction,Brian,they/them,dog,mechanic,,,,,,,Brian goes by he/him and he is an Uber driver with a cat.
1B_004,18,male,"native (learned from birth)",3,memory,Kevin,he/him,fish,doctor,job,mechanic,0,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Kevin,he/him,fish,doctor,pet,cat,0,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Kevin,he/him,fish,doctor,pronoun,he/him,1,,,,
1B_004,18,male,"native (learned from birth)",3,production,Kevin,he/him,fish,doctor,,,,he thought of all of the patients he had and ways for them to be better treated.,he/him,1,
1B_004,18,male,"native (learned from birth)",3,introduction,Kevin,he/him,fish,doctor,,,,,,,Kevin goes by he/him and he is an engineer with a dog.
1B_004,18,male,"native (learned from birth)",3,memory,Daniel,he/him,cat,IT,job,retail,0,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Daniel,he/him,cat,IT,pet,dog,0,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Daniel,he/him,cat,IT,pronoun,he/him,1,,,,
1B_004,18,male,"native (learned from birth)",3,production,Daniel,he/him,cat,IT,,,,he decided to relax and play games with his friends.,he/him,1,
1B_004,18,male,"native (learned from birth)",3,memory,Laura,she/her,cat,accountant,job,nurse,0,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Laura,she/her,cat,accountant,pet,fish,0,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Laura,she/her,cat,accountant,pronoun,they/them,0,,,,
1B_004,18,male,"native (learned from birth)",3,production,Laura,she/her,cat,accountant,,,,she showered and went to bed.,she/her,1,
1B_004,18,male,"native (learned from birth)",3,memory,Melissa,she/her,dog,retail,job,janitor,0,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Melissa,she/her,dog,retail,pet,dog,1,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Melissa,she/her,dog,retail,pronoun,she/her,1,,,,
1B_004,18,male,"native (learned from birth)",3,production,Melissa,she/her,dog,retail,,,,she called her friends and invited them to her place.,she/her,1,
1B_004,18,male,"native (learned from birth)",3,memory,Stephanie,she/her,fish,janitor,job,teacher,0,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Stephanie,she/her,fish,janitor,pet,fish,1,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Stephanie,she/her,fish,janitor,pronoun,she/her,1,,,,
1B_004,18,male,"native (learned from birth)",3,production,Stephanie,she/her,fish,janitor,,,,she washed up and cleaned her clothes.,she/her,1,
1B_004,18,male,"native (learned from birth)",3,introduction,Stephanie,she/her,fish,janitor,,,,,,,Stephanie goes by she/her and she is a teacher who has a fish.
1B_004,18,male,"native (learned from birth)",3,memory,Andrew,they/them,cat,food service,job,IT,0,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Andrew,they/them,cat,food service,pet,cat,1,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Andrew,they/them,cat,food service,pronoun,he/him,0,,,,
1B_004,18,male,"native (learned from birth)",3,production,Andrew,they/them,cat,food service,,,,he sat down on his couch and watched football.,he/him,0,
1B_004,18,male,"native (learned from birth)",3,memory,Emily,they/them,fish,uber,job,teacher,0,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Emily,they/them,fish,uber,pet,fish,1,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Emily,they/them,fish,uber,pronoun,she/her,0,,,,
1B_004,18,male,"native (learned from birth)",3,production,Emily,they/them,fish,uber,,,,she checked the Uber app to see how many clients she drove.,she/her,0,
1B_004,18,male,"native (learned from birth)",3,memory,Amanda,they/them,dog,engineer,job,sales,0,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Amanda,they/them,dog,engineer,pet,dog,1,,,,
1B_004,18,male,"native (learned from birth)",3,memory,Amanda,they/them,dog,engineer,pronoun,they/them,1,,,,
1B_004,18,male,"native (learned from birth)",3,production,Amanda,they/them,dog,engineer,,,,she went to her computer to think of new engineering ideas.,she/her,0,
