SubjID,SubjAge,SubjGender,SubjEnglish,List,Task,Name,Pronoun,Pet,Job,M_Type,M_Response,M_Acc,P_Response,P_Pronoun,P_Acc,I_Response
1A_004,19,female,native (learned from birth),3,memory,Jessica,she/her,fish,teacher,pet,fish,1,,,,
1A_004,19,female,native (learned from birth),3,memory,Jessica,she/her,fish,teacher,pronoun,she/her,1,,,,
1A_004,19,female,native (learned from birth),3,production,Jessica,she/her,fish,teacher,,,,she cooked dinner.,she/her,1,
1A_005,18,female,native (learned from birth),1,memory,Brian,he/him,fish,accountant,job,food service,0,,,,
1A_005,18,female,native (learned from birth),1,memory,Brian,he/him,fish,accountant,pet,dog,0,,,,
1A_005,18,female,native (learned from birth),1,memory,Brian,he/him,fish,accountant,pronoun,he/him,1,,,,
1A_005,18,female,native (learned from birth),1,production,Brian,he/him,fish,accountant,,,,he worked out.,he/him,1,
1A_005,18,female,native (learned from birth),1,memory,Kevin,they/them,dog,doctor,job,mechanic,0,,,,
1A_005,18,female,native (learned from birth),1,memory,Kevin,they/them,dog,doctor,pet,dog,1,,,,
1A_005,18,female,native (learned from birth),1,memory,Kevin,they/them,dog,doctor,pronoun,he/him,0,,,,
1A_005,18,female,native (learned from birth),1,production,Kevin,they/them,dog,doctor,,,,he got in bed,he/him,0,
1A_005,18,female,native (learned from birth),1,memory,Daniel,he/him,cat,retail,job,doctor,0,,,,
1A_005,18,female,native (learned from birth),1,memory,Daniel,he/him,cat,retail,pet,cat,1,,,,
1A_005,18,female,native (learned from birth),1,memory,Daniel,he/him,cat,retail,pronoun,he/him,1,,,,
1A_005,18,female,native (learned from birth),1,production,Daniel,he/him,cat,retail,,,,he made dinner,he/him,1,
1A_005,18,female,native (learned from birth),1,memory,Laura,she/her,cat,mechanic,job,retail,0,,,,
1A_005,18,female,native (learned from birth),1,memory,Laura,she/her,cat,mechanic,pet,fish,0,,,,
1A_005,18,female,native (learned from birth),1,memory,Laura,she/her,cat,mechanic,pronoun,they/them,0,,,,
1A_005,18,female,native (learned from birth),1,production,Laura,she/her,cat,mechanic,,,,she took a shower,she/her,1,
1A_005,18,female,native (learned from birth),1,memory,Melissa,they/them,fish,IT,job,mechanic,0,,,,
1A_005,18,female,native (learned from birth),1,memory,Melissa,they/them,fish,IT,pet,dog,0,,,,
1A_005,18,female,native (learned from birth),1,memory,Melissa,they/them,fish,IT,pronoun,she/her,0,,,,
1A_005,18,female,native (learned from birth),1,production,Melissa,they/them,fish,IT,,,,she relaxed,she/her,0,
1A_005,18,female,native (learned from birth),1,introduction,Melissa,they/them,fish,IT,,,,,,,She has a fish 
1A_005,18,female,native (learned from birth),1,memory,Stephanie,they/them,cat,nurse,job,sales,0,,,,
1A_005,18,female,native (learned from birth),1,memory,Stephanie,they/them,cat,nurse,pet,dog,0,,,,
1A_005,18,female,native (learned from birth),1,memory,Stephanie,they/them,cat,nurse,pronoun,she/her,0,,,,
1A_005,18,female,native (learned from birth),1,production,Stephanie,they/them,cat,nurse,,,,she took her dog out,she/her,0,
1A_005,18,female,native (learned from birth),1,memory,Andrew,he/him,dog,teacher,job,nurse,0,,,,
1A_005,18,female,native (learned from birth),1,memory,Andrew,he/him,dog,teacher,pet,dog,1,,,,
1A_005,18,female,native (learned from birth),1,memory,Andrew,he/him,dog,teacher,pronoun,he/him,1,,,,
1A_005,18,female,native (learned from birth),1,production,Andrew,he/him,dog,teacher,,,,he graded tests,he/him,1,
1A_005,18,female,native (learned from birth),1,introduction,Andrew,he/him,dog,teacher,,,,,,,He's a cool dude with a good job
1A_005,18,female,native (learned from birth),1,memory,Emily,she/her,dog,uber,job,Uber driver,0,,,,
1A_005,18,female,native (learned from birth),1,memory,Emily,she/her,dog,uber,pet,dog,1,,,,
1A_005,18,female,native (learned from birth),1,memory,Emily,she/her,dog,uber,pronoun,she/her,1,,,,
1A_005,18,female,native (learned from birth),1,production,Emily,she/her,dog,uber,,,,she made dinner,she/her,1,
1A_005,18,female,native (learned from birth),1,memory,Amanda,she/her,cat,engineer,job,food service,0,,,,
1A_005,18,female,native (learned from birth),1,memory,Amanda,she/her,cat,engineer,pet,cat,1,,,,
1A_005,18,female,native (learned from birth),1,memory,Amanda,she/her,cat,engineer,pronoun,they/them,0,,,,
1A_005,18,female,native (learned from birth),1,production,Amanda,she/her,cat,engineer,,,,she took a shower,she/her,1,
1A_005,18,female,native (learned from birth),1,introduction,Amanda,she/her,cat,engineer,,,,,,,She works in IT and has a cat
1A_005,18,female,native (learned from birth),1,memory,Michael,they/them,fish,sales,job,teacher,0,,,,
1A_005,18,female,native (learned from birth),1,memory,Michael,they/them,fish,sales,pet,fish,1,,,,
1A_005,18,female,native (learned from birth),1,memory,Michael,they/them,fish,sales,pronoun,he/him,0,,,,
1A_005,18,female,native (learned from birth),1,production,Michael,they/them,fish,sales,,,,he took his dog out.,he/him,0,
1A_005,18,female,native (learned from birth),1,memory,James,he/him,dog,janitor,job,janitor,1,,,,
1A_005,18,female,native (learned from birth),1,memory,James,he/him,dog,janitor,pet,fish,0,,,,
1A_005,18,female,native (learned from birth),1,memory,James,he/him,dog,janitor,pronoun,he/him,1,,,,
1A_005,18,female,native (learned from birth),1,production,James,he/him,dog,janitor,,,,he took a shower,he/him,1,
1A_005,18,female,native (learned from birth),1,memory,Jessica,she/her,fish,food service,job,IT,0,,,,
1A_005,18,female,native (learned from birth),1,memory,Jessica,she/her,fish,food service,pet,cat,0,,,,
1A_005,18,female,native (learned from birth),1,memory,Jessica,she/her,fish,food service,pronoun,they/them,0,,,,
1A_005,18,female,native (learned from birth),1,production,Jessica,she/her,fish,food service,,,,she watched tv,she/her,1,
1A_006,20,female,native (learned from birth),2,memory,Brian,he/him,cat,uber,job,Uber driver,0,,,,
1A_006,20,female,native (learned from birth),2,memory,Brian,he/him,cat,uber,pet,cat,1,,,,
1A_006,20,female,native (learned from birth),2,memory,Brian,he/him,cat,uber,pronoun,he/him,1,,,,
1A_006,20,female,native (learned from birth),2,production,Brian,he/him,cat,uber,,,,he fed his cat.,he/him,1,
1A_006,20,female,native (learned from birth),2,memory,Kevin,he/him,dog,food service,job,food service,1,,,,
