Participant,Age,English,Gender,Condition,List,PSA,Biography,Name,Job,Pet,Pronoun,M_Type,M_Response,M_Acc,P_Text,P_Response,P_Acc
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Emily,Uber driver,dog,she/her,pronoun,she/her,1,she watched a movie.,she/her,1
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Kevin,doctor,dog,they/them,job,retail,0,NA,NA,NA
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Kevin,doctor,dog,they/them,pet,cat,0,NA,NA,NA
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Kevin,doctor,dog,they/them,pronoun,he/him,0,he cleaned his room.,he/him,0
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,James,janitor,dog,he/him,job,doctor,0,NA,NA,NA
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,James,janitor,dog,he/him,pet,cat,0,NA,NA,NA
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,James,janitor,dog,he/him,pronoun,he/him,1,he went to buy some groceries. ,he/him,1
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Melissa,IT,fish,they/them,job,accountant,0,NA,NA,NA
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Melissa,IT,fish,they/them,pet,fish,1,NA,NA,NA
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Melissa,IT,fish,they/them,pronoun,she/her,0,she invited her friends for a party.,she/her,0
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Brian,accountant,fish,he/him,job,teacher,0,NA,NA,NA
2_006,30,"native (learned from birth)",female,psa,psa_1,1,0,Brian,accountant,fish,he/him,pet,dog,0,NA,NA,NA
